Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-06-06 00:00:00-03:00,110248.1875,112382.828125,109306.4296875,110248.1875,1568,0.0,0.0
2007-06-08 00:00:00-03:00,108929.7265625,116149.8515625,107046.21875,116149.8515625,347,0.0,0.0
2007-06-11 00:00:00-03:00,116024.28125,120858.6328125,114266.34375,119916.875,217,0.0,0.0
2007-06-12 00:00:00-03:00,116024.28125,120858.6328125,114266.34375,118661.203125,218,0.0,0.0
2007-06-13 00:00:00-03:00,119037.90625,120230.7890625,116777.6875,119916.875,55,0.0,0.0
2007-06-14 00:00:00-03:00,117405.5234375,119854.09375,115522.015625,115835.9375,26,0.0,0.0
2007-06-15 00:00:00-03:00,115522.015625,116149.8515625,110562.1015625,111127.15625,126,0.0,0.0
2007-06-18 00:00:00-03:00,111817.7734375,113010.6640625,108615.8046875,111127.15625,31,0.0,0.0
2007-06-19 00:00:00-03:00,110499.3203125,112382.828125,108301.890625,108301.890625,180,0.0,0.0
2007-06-20 00:00:00-03:00,109243.6484375,111629.421875,108615.8046875,109871.484375,147,0.0,0.0
2007-06-21 00:00:00-03:00,109243.6484375,110185.3984375,108615.8046875,109180.859375,67,0.0,0.0
2007-06-22 00:00:00-03:00,108929.7265625,112885.1015625,108615.8046875,112696.75,73,0.0,0.0
2007-06-25 00:00:00-03:00,110499.3203125,117405.5234375,110499.3203125,116149.8515625,83,0.0,0.0
2007-06-26 00:00:00-03:00,115522.015625,118661.203125,115522.015625,117405.5234375,46,0.0,0.0
2007-06-27 00:00:00-03:00,115522.015625,116149.8515625,113952.421875,114831.390625,86,0.0,0.0
2007-06-28 00:00:00-03:00,114580.2578125,118786.765625,114580.2578125,117405.5234375,90,0.0,0.0
2007-06-29 00:00:00-03:00,116149.8515625,122365.4375,116149.8515625,120544.7109375,82,0.0,0.0
2007-07-02 00:00:00-03:00,120481.9296875,128706.59375,119289.0390625,127450.921875,250,0.0,0.0
2007-07-03 00:00:00-03:00,126823.078125,131845.78125,125253.4921875,131783.0,80,0.0,0.0
2007-07-04 00:00:00-03:00,131845.78125,136240.640625,131280.71875,133101.453125,102,0.0,0.0
2007-07-05 00:00:00-03:00,129962.265625,133101.453125,125567.40625,128769.375,94,0.0,0.0
2007-07-06 00:00:00-03:00,128832.1640625,131845.78125,128706.59375,131217.9375,44,0.0,0.0
2007-07-10 00:00:00-03:00,131845.78125,132473.609375,123746.6796875,128078.7578125,43,0.0,0.0
2007-07-11 00:00:00-03:00,129334.4296875,129334.4296875,124311.734375,127450.921875,60,0.0,0.0
2007-07-12 00:00:00-03:00,129648.3515625,131845.78125,127450.921875,131092.375,234,0.0,0.0
2007-07-13 00:00:00-03:00,131217.9375,136554.5625,128706.59375,133101.453125,128,0.0,0.0
2007-07-16 00:00:00-03:00,132473.609375,132473.609375,130150.6171875,131217.9375,38,0.0,0.0
2007-07-17 00:00:00-03:00,131531.859375,134859.390625,128706.59375,134671.046875,114,0.0,0.0
2007-07-18 00:00:00-03:00,134984.96875,139693.734375,133101.453125,138124.15625,285,0.0,0.0
2007-07-19 00:00:00-03:00,139693.734375,145972.109375,139379.828125,144402.515625,114,0.0,0.0
2007-07-20 00:00:00-03:00,145909.328125,145972.109375,140635.5,145658.1875,90,0.0,0.0
2007-07-23 00:00:00-03:00,144402.515625,148797.375,143209.625,148797.375,58,0.0,0.0
2007-07-24 00:00:00-03:00,149111.296875,149111.296875,143146.84375,144402.515625,79,0.0,0.0
2007-07-25 00:00:00-03:00,148420.671875,148420.671875,139693.734375,141451.6875,33,0.0,0.0
2007-07-26 00:00:00-03:00,138124.15625,138124.15625,127450.921875,134357.125,136,0.0,0.0
2007-07-27 00:00:00-03:00,138061.359375,140635.5,131908.5625,133666.5,16,0.0,0.0
2007-07-30 00:00:00-03:00,138124.15625,140321.578125,129334.4296875,131845.78125,53,0.0,0.0
2007-07-31 00:00:00-03:00,137496.3125,137496.3125,128706.59375,130590.1015625,20,0.0,0.0
2007-08-01 00:00:00-03:00,128643.8125,130590.1015625,119289.0390625,125567.40625,123,0.0,0.0
2007-08-02 00:00:00-03:00,127388.1328125,128078.7578125,121109.765625,121109.765625,67,0.0,0.0
2007-08-03 00:00:00-03:00,122993.2734375,124248.953125,115522.015625,116212.6328125,58,0.0,0.0
2007-08-06 00:00:00-03:00,116212.6328125,122428.21875,111441.078125,122428.21875,119,0.0,0.0
2007-08-07 00:00:00-03:00,122428.21875,122428.21875,118033.359375,121486.46875,78,0.0,0.0
2007-08-08 00:00:00-03:00,120544.7109375,126823.078125,120544.7109375,121737.6015625,58,0.0,0.0
2007-08-09 00:00:00-03:00,122428.21875,122428.21875,119602.953125,120544.7109375,107,0.0,0.0
2007-08-10 00:00:00-03:00,121486.46875,125567.40625,114580.2578125,121486.46875,35,0.0,0.0
2007-08-13 00:00:00-03:00,128706.59375,128706.59375,123056.0625,125253.4921875,57,0.0,0.0
2007-08-14 00:00:00-03:00,125567.40625,128329.890625,122428.21875,124939.5703125,7,0.0,0.0
2007-08-15 00:00:00-03:00,122428.21875,124876.7890625,117405.5234375,118598.4140625,14,0.0,0.0
2007-08-16 00:00:00-03:00,111441.078125,113010.6640625,91099.15625,106732.296875,194,0.0,0.0
2007-08-17 00:00:00-03:00,106104.4609375,116149.8515625,97942.578125,109871.484375,123,0.0,0.0
2007-08-20 00:00:00-03:00,111754.9921875,116714.90625,105978.890625,105978.890625,35,0.0,0.0
2007-08-21 00:00:00-03:00,106732.296875,109055.296875,105476.625,106481.1640625,18,0.0,0.0
2007-08-22 00:00:00-03:00,109871.484375,109871.484375,105476.625,109243.6484375,93,0.0,0.0
2007-08-23 00:00:00-03:00,109871.484375,111754.9921875,106732.296875,106732.296875,46,0.0,0.0
2007-08-24 00:00:00-03:00,109871.484375,111754.9921875,108615.8046875,111754.9921875,29,0.0,0.0
2007-08-27 00:00:00-03:00,111754.9921875,118033.359375,111692.2109375,118033.359375,88,0.0,0.0
2007-08-28 00:00:00-03:00,113952.421875,113952.421875,111754.9921875,113010.6640625,11,0.0,0.0
2007-08-29 00:00:00-03:00,118033.359375,118033.359375,109871.484375,111127.15625,111,0.0,0.0
2007-08-30 00:00:00-03:00,113010.6640625,113010.6640625,109871.484375,110499.3203125,62,0.0,0.0
2007-08-31 00:00:00-03:00,110310.96875,119289.0390625,110310.96875,115522.015625,218,0.0,0.0
2007-09-03 00:00:00-03:00,113010.6640625,117719.4453125,113010.6640625,114266.34375,18,0.0,0.0
2007-09-04 00:00:00-03:00,111629.421875,116149.8515625,111127.15625,112382.828125,18,0.0,0.0
2007-09-05 00:00:00-03:00,115459.234375,115459.234375,110499.3203125,112947.8828125,13,0.0,0.0
2007-09-06 00:00:00-03:00,115710.3671875,115710.3671875,112320.046875,114077.9921875,30,0.0,0.0
2007-09-10 00:00:00-03:00,111754.9921875,111754.9921875,108615.8046875,109871.484375,62,0.0,0.0
2007-09-11 00:00:00-03:00,113010.6640625,113638.5078125,106104.4609375,109808.6953125,97,0.0,0.0
2007-09-12 00:00:00-03:00,108301.890625,109871.484375,106732.296875,108553.0234375,97,0.0,0.0
2007-09-13 00:00:00-03:00,111754.9921875,111754.9921875,107987.96875,109494.78125,12,0.0,0.0
2007-09-14 00:00:00-03:00,110624.8828125,110624.8828125,107987.96875,108929.7265625,10,0.0,0.0
2007-09-17 00:00:00-03:00,111629.421875,111629.421875,103593.109375,103593.109375,27,0.0,0.0
2007-09-18 00:00:00-03:00,108176.3203125,108176.3203125,101709.6015625,104158.1640625,75,0.0,0.0
2007-09-19 00:00:00-03:00,106732.296875,109871.484375,102965.2734375,109243.6484375,75,0.0,0.0
2007-09-20 00:00:00-03:00,106795.078125,113764.0703125,104597.6484375,104597.6484375,204,0.0,0.0
2007-09-21 00:00:00-03:00,106732.296875,109243.6484375,106732.296875,107987.96875,62,0.0,0.0
2007-09-24 00:00:00-03:00,110436.53125,112885.1015625,108490.2421875,112382.828125,49,0.0,0.0
2007-09-25 00:00:00-03:00,109871.484375,116149.8515625,109243.6484375,114831.390625,109,0.0,0.0
2007-09-26 00:00:00-03:00,116087.0703125,122365.4375,115522.015625,121800.3828125,109,0.0,0.0
2007-09-27 00:00:00-03:00,121800.3828125,123872.25,119289.0390625,122428.21875,114,0.0,0.0
2007-09-28 00:00:00-03:00,121172.546875,122365.4375,119289.0390625,121800.3828125,105,0.0,0.0
2007-10-01 00:00:00-03:00,122365.4375,128078.7578125,122365.4375,127890.40625,64,0.0,0.0
2007-10-02 00:00:00-03:00,134357.125,138186.9375,131217.9375,138186.9375,274,0.0,0.0
2007-10-03 00:00:00-03:00,138124.15625,138186.9375,133101.453125,135926.71875,275,0.0,0.0
2007-10-04 00:00:00-03:00,135926.71875,138124.15625,131908.5625,136868.46875,111,0.0,0.0
2007-10-05 00:00:00-03:00,136868.46875,143460.765625,136868.46875,143460.765625,41,0.0,0.0
2007-10-08 00:00:00-03:00,141263.328125,144402.515625,140007.65625,141577.25,87,0.0,0.0
2007-10-09 00:00:00-03:00,144402.515625,147227.78125,143711.890625,147227.78125,87,0.0,0.0
